Geography,Year,Exp. based GDP (2012 chained C$),Exp. based GDP (current C$),Income based GDP,Industry GDP (current C$),Industry GDP (2012 chained C$),CPI (all items),CPI (gasoline),Labour force (persons*1000),"Employment (persons*1,000)","Unemployment (persons*1,000)",Unemployment rate,Population,Exp. based GDP per capita (2012 chained C$),Exp. based GDP per capita (current C$),Income based GDP per capita,Industry GDP per capita (current C$),Industry GDP per capita (2012 chained C$)
Alberta,2019,347102.0,352884.0,352884.0,0.0,334470.8,143.1,161.8,4901.200000000001,4558.6,342.50000000000006,0.32597502495675823,4361694.0,79579.63121667865,80905.26295517292,80905.26295517292,0.0,76683.69216180686
British Columbia,2010,211749.0,206990.0,206990.0,190873.5,195819.3,113.8,156.9,4797.1,4429.8,367.3,0.336525240383892,4465546.0,47418.38959894266,46352.67445459077,46352.67445459077,42743.59731150457,43851.1438466875
British Columbia,2011,218203.0,218771.0,218771.0,202033.2,201413.0,116.5,180.3,4808.799999999999,4440.6,368.2,0.34531556171386446,4502104.0,48466.8945897296,48593.05782363091,48593.05782363091,44875.28497786813,44737.5271650766
British Columbia,2012,223329.0,223328.0,223328.0,206590.6,206590.7,117.8,183.2,4884.900000000001,4549.4,335.59999999999997,0.3163410356839574,4566769.0,48903.06472694371,48902.845753748436,48902.845753748436,45237.80379519963,45237.82569251915
British Columbia,2013,228310.0,230981.0,230981.0,214088.8,211555.3,117.7,186.4,4907.3,4582.0,325.2,0.3071310812183473,4630077.0,49310.19505723123,49887.07531213843,49887.07531213843,46238.71266071817,45691.52953611786
British Columbia,2014,236696.0,243872.0,243872.0,225863.3,219060.9,118.9,186.3,4965.6,4663.200000000001,302.4,0.27844382245504845,4707103.0,50284.8567367232,51809.36129929598,51809.36129929598,47983.50492861533,46538.36977860905
British Columbia,2015,241509.0,250784.0,250784.0,231725.3,224153.4,120.2,166.7,5054.4,4742.0,312.50000000000006,0.28461898681730846,4776388.0,50563.10333247634,52504.947253028855,52504.947253028855,48514.75633889039,46929.47892842876
British Columbia,2016,248262.0,263912.0,263912.0,243317.1,230763.5,122.4,159.4,5224.2,4907.1,317.09999999999997,0.2699182214862453,4859250.0,51090.6004012965,54311.26202603282,54311.26202603282,50072.974224417354,47489.53027730616
British Columbia,2017,257724.0,282283.0,282283.0,260220.3,239205.8,125.0,178.5,5387.0,5108.900000000001,278.2,0.2316760816376396,4929384.0,52283.20617748587,57265.37027750323,57265.37027750323,52789.6183377071,48526.5096003882
British Columbia,2018,264765.0,296135.0,296135.0,0.0,246016.9,128.4,201.3,5437.8,5179.8,258.09999999999997,0.21152539339748408,5010476.0,52842.28484479319,59103.16704440856,59103.16704440856,0.0,49100.504622714485
